Column1;Column2
Tal bloqueio é aplicado com moderação, geralmente apenas por curtos períodos de tempo, enquanto os ataques parecerem propensos a continuar.;Portugeese
Em 8 de agosto de 2014, uma matéria do portal de O Globo[124] afirmou que um dispositivo conectado à internet através da rede sem fio do Palácio do Planalto alterou, em maio de 2013, informações das páginas de Miriam e Carlos Alberto Sardenberg na Wikipédia, com o objetivo de difamá-los.;Portugeese
"As informações inseridas no artigo de Miriam qualificavam suas análises e previsões econômicas como ""desastrosas"", além de acusá-la de ter defendido ""apaixonadamente"" o banqueiro Daniel Dantas quando este foi preso pela Polícia Federal.";Portugeese
[125] Esta última acusação ocorreu em razão de comentário de Miriam na Rádio CBN onde ela defendia a inocência de Dantas.;Portugeese
[126] As Organizações Globo foram criticadas por divulgar alterações das biografias de seus contratados na Wikipédia, ferramenta de caráter colaborativo e aberta à edição de todos e que, segundo seu próprio criador, Jimmy Wales, não deve ser usada como fonte primária de informação.;Portugeese
[125] Também foram criticadas por só terem noticiado as alterações em plena campanha eleitoral de 2014.;Portugeese
[125] O jornalista Miguel do Rosário divulgou que um usuário que navegava através da rede da Companhia de Processamento de Dados do Estado de São Paulo inseriu uma calúnia na biografia do músico Raul Seixas.;Portugeese
[127] Ele também relatou que já visitou o Palácio do Planalto e que teve acesso à senha da rede sem fio do gabinete presidencial.;Portugeese
[127] Visto que os contribuintes normalmente reescrevem pequenas porções de um verbete ao invés de fazer grandes revisões em todo o texto, num mesmo artigo pode coexistir conteúdo de alta e de baixa qualidade.;Portugeese
Os críticos argumentam que, por vezes, edições de não-especialistas minam a qualidade.;Portugeese
Por exemplo, Roy Rosenzweig, em um ensaio de junho de 2006 que combinou tanto elogios como reparos à Wikipédia, teceu várias críticas à sua prosa e sua incapacidade de distinguir o que de fato é importante do meramente sensacional.;Portugeese
"Ele disse que a Wikipédia é ""surpreendentemente precisa em relatar nomes, datas e acontecimentos da história dos Estados Unidos"" (o campo de estudo de Rosenzweig) e que a maioria dos poucos erros factuais que ele encontrou ""eram pequenos e negligenciáveis"", acrescentando que alguns deles ""simplesmente repetiam crenças divulgadas amplamente, porém imprecisas"", que também são repetidas nas enciclopédias Encarta e na Britannica.";Portugeese
"No entanto, ele fez uma crítica importante: Contrastando o tratamento dado a Abraham Lincoln na Wikipédia com o oferecido na American National Biography Online pelo historiador da Guerra Civil, James McPherson, Rosenzweig disse que ambos eram essencialmente corretos e cobriam os episódios principais da vida de Lincoln, mas elogiou ""a contextualização mais rica de McPherson... seu hábil uso de citações para capturar a voz de Lincoln,... a sua capacidade de transmitir uma mensagem profunda com apenas um punhado de palavras"".";Portugeese
"Por outro lado, ele deu um exemplo de prosa da Wikipédia que considerou ""verborreica e sem graça"".";Portugeese
"Rosenzweig fez ainda uma crítica mais, comparando ""a habilidade e julgamento seguro de um historiador experiente"", exibido por McPherson e outros, com o ""arcaísmo"" da Wikipédia, que ele comparou a esse respeito à revista American Heritage, e disse que embora a Wikipédia forneça frequentemente extensas referências, elas não são as melhores disponíveis.";Portugeese
[128] Rosenzweig também criticou a ambiguidade — encorajada pela política de imparcialidade ou de ponto de vista neutro — significando que é difícil discernir na Wikipédia qualquer orientação interpretativa global da história.;Portugeese
Por exemplo, ele citou a conclusão do artigo da Wikipédia em inglês sobre William Clarke Quantrill.;Portugeese
"Embora em geral elogiando o artigo, considerou sua conclusão indecisa: ""Alguns historiadores... lembram-se dele como um fora-da-lei oportunista e sedento de sangue, enquanto outros continuam a vê-lo como um soldado audaz e um herói popular.";Portugeese
"""[128] Outros críticos fizeram acusações semelhantes, dizendo que mesmo que os artigos da Wikipédia sejam factualmente precisos, muitas vezes são escritos em um estilo pobre e quase ilegível.";Portugeese
"O frequente crítico da Wikipédia, Andrew Orlowski, comentou: ""Mesmo quando uma página na Wikipédia é 100 por cento correta factualmente, e esses fatos são cuidadosamente escolhidos, muitas vezes o resultado parece como se tivesse sido traduzido de uma língua para outra, em seguida para uma terceira, em todos os estágios passando pelas mãos de tradutores incompetentes.";Portugeese
"""[129] Um estudo de artigos sobre câncer realizado por Yaacov Lawrence do Kimmel Cancer Center, na Universidade Thomas Jefferson, descobriu que os verbetes eram, em sua maioria, precisos, mas eram escritos no nível de leitura da faculdade, ao contrário do nível de colegial visto no Physician Data Query.";Portugeese
"Lawrence disse que ""falta de legibilidade da Wikipédia pode refletir suas origens variadas e edições casuais.";Portugeese
"""[130] A The Economist observou que a qualidade da escrita dos artigos da Wikipédia pode ser um guia para o leitor: ""a prosa deselegante ou o discurso retórico geralmente refletem pensamentos confusos e informações incompletas.";Portugeese
"""[131] Um estudo de 2005 feito pela revista Nature, comparando o conteúdo científico da Wikipédia e o da Encyclopædia Britannica, afirmou que a precisão da Wikipédia foi próxima a da Britannica, mas que a estrutura dos artigos da Wikipédia era muitas vezes pobre.";Portugeese
"""[26] Como consequência da sua estrutura aberta, a Wikipédia ""não dá nenhuma garantia de validade"" do seu conteúdo, já que ninguém é responsável por quaisquer reivindicações que nela figuram.";Portugeese
Preocupações têm sido levantadas quanto à falta de responsabilidade que resulta do anonimato dos usuários,[132] a inserção de informações falsas,[133] vandalismos e problemas semelhantes.;Portugeese
"A Wikipédia tem sido acusada de expor viés sistêmico e inconsistência;[22] além disso, os críticos argumentam que a natureza aberta da Wikipédia e a falta de fontes adequadas para grande parte da informação torna o conteúdo pouco confiável.";Portugeese
[134] Alguns analistas sugerem que a Wikipédia é geralmente de confiança, mas que a confiabilidade de qualquer artigo nem sempre é clara.;Portugeese
[21] Editores de obras de referência tradicionais como a Encyclopædia Britannica têm questionado a utilidade do projeto e seu status como uma enciclopédia.;Portugeese
"[135] Muitos professores universitários desencorajam os estudantes de citar qualquer enciclopédia em trabalhos acadêmicos, preferindo fontes primárias;[136] alguns proíbem especificamente citações da Wikipédia.";Portugeese
[137] O cofundador Jimmy Wales salienta que enciclopédias de qualquer tipo normalmente não são apropriadas como fontes primárias e não devem ser invocadas como autoridades.;Portugeese
"[138] No entanto, uma investigação relatada na revista Nature, em 2005, sugeriu que os artigos científicos da Wikipédia chegaram perto do nível de precisão da Encyclopædia Britannica e tinham uma taxa semelhante de ""erros graves"".";Portugeese
[26] Estas alegações foram contestados pela Encyclopædia Britannica.;Portugeese
"[139][140] O economista Tyler Cowen escreve: ""Se eu tivesse que adivinhar se é a Wikipédia ou um artigo de um jornal médio sobre economia qual é mais provável que esteja dizendo a verdade, acho que depois de não muito tempo eu optaria pela Wikipédia"".";Portugeese
Ele comenta que muitas fontes tradicionais de não-ficção sofrem preconceitos sistêmicos.;Portugeese
Resultados novos são excessivamente relatados em artigos de revistas, enquanto informações relevantes são omitidas do noticiário.;Portugeese
No entanto, ele também adverte que erros são frequentemente encontrados em sites de Internet e que os acadêmicos e especialistas devem estar atentos para corrigi-los.;Portugeese
[141] Em fevereiro de 2007, um artigo no jornal The Harvard Crimson informou que alguns dos professores da Universidade de Harvard incluem a Wikipédia em suas ementas, mas que há uma divisão na sua percepção do uso da Wikipédia.;Portugeese
"[142] Em junho de 2007, o ex-presidente da American Library Association, Michael Gorman, condenou a Wikipédia, juntamente com o Google,[143] afirmando que os acadêmicos que apoiam o uso da Wikipédia são ""o equivalente intelectual de um nutricionista, que recomenda uma dieta constante de Big Macs com tudo.""";Portugeese
"Ele também disse que ""uma geração de preguiçosos intelectuais incapazes de ir além da Internet"" estava sendo produzida nas universidades.";Portugeese
Ele reclama que as fontes baseadas na web são desanimadoras da aprendizagem dos alunos a partir dos textos mais raros que sejam encontradas apenas no papel ou estão em locais de inscrição somente pela web.;Portugeese
"No mesmo artigo Jenny Fry (um pesquisador do Oxford Internet Institute) comentou sobre acadêmicos que citam a Wikipédia, dizendo que: ""Você não pode dizer que as crianças são intelectualmente preguiçosas porque elas estão usando a Internet, quando os acadêmicos estão usando os motores de busca em suas pesquisas.";Portugeese
A diferença é que eles têm mais experiência para serem críticos sobre o que estão pesquisando e se ele é autoritário.;Portugeese
As crianças precisam ser ensinadas a usar a Internet de forma crítica e adequada.;Portugeese
"""[143] A Wikipédia é uma enciclopédia hospedada e financiada pela Fundação Wikimedia, uma organização sem fins lucrativos que opera a Wikipédia e projetos relacionados, tais como o Wikcionário, Wikilivros e outros.";Portugeese
Os capítulos Wikimedia, associações locais de usuários e defensores dos projetos Wikimedia, participam também da promoção, desenvolvimento e financiamento do projeto.;Portugeese
"A operação na Wikipédia é realizada através do software wiki livre e de código aberto chamado ""MediaWiki"", o qual é escrito em PHP e usa o banco de dados MySQL.";Portugeese
O software incorpora recursos de programação como uma macrolinguagem, variáveis, um sistema de transclusão de templates e redirecionamento de URLs.;Portugeese
O MediaWiki está licenciado sob a GNU General Public License e é usado por todos os projetos da Wikimedia, assim como muitos outros projetos wiki.;Portugeese
"Originalmente, a Wikipédia funcionava com o UseModWiki escrito em Perl por Clifford Adams (primeira fase), que inicialmente requeria hiperligações nos artigos por meio do CamelCase; o estilo atual de faixa dupla só foi incorporado mais tarde.";Portugeese
[144] A partir de janeiro de 2002 (segunda fase), a Wikipédia passou a contar com um software escrito em PHP wiki, por meio de um banco de dados MySQL, feito sob medida para a Wikipédia por Magnus Manske.;Portugeese
Nessa fase, o software foi modificado várias vezes, para acomodar a demanda exponencialmente crescente.;Portugeese
Em julho de 2002, a Wikipédia passou a utilizar um software de terceira geração, o MediaWiki, feito e desenvolvido por Lee Daniel Crocker.;Portugeese
Várias extensões do MediaWiki estão instaladas[145] para estender a funcionalidade deste software.;Portugeese
"Em abril de 2005, uma extensão Apache Lucene foi adicionada ao software MediaWiki em ""bult-in"" e o banco de dados de indexação, que até aí era MySQL, passou a ser do tipo Lucene.";Portugeese
[146][147] Atualmente, a extensão Lucene 2.1[148] é escrita em Java e baseada na Lucene library 2.3.;Portugeese
[149] A Wikipédia atualmente roda em clusters de servidores dedicados Linux (principalmente Ubuntu),[150][151] com algumas máquinas OpenSolaris com sistemas de arquivos ZFS.;Portugeese
Em dezembro de 2009, havia 300 na Flórida, Estados Unidos, e 44 em Amsterdã, nos Países Baixos.;Portugeese
[152] A Wikipédia empregava um único servidor até 2004, quando a configuração do servidor foi ampliada para uma arquitetura em multicamadas distribuídas.;Portugeese
Em janeiro de 2005, o projeto funcionava através de 39 servidores dedicados localizados na Flórida.;Portugeese
Esta configuração inclui um servidor de banco de dados único mestre executando o MySQL, múltiplos servidores de banco de dados escravos, 21 servidores web rodando o Apache HTTP Server e sete servidores de cache rodando o software Squid.;Portugeese
A Wikipédia recebe entre 25 000 e 60 000 pedidos de página por segundo, dependendo da hora do dia.;Portugeese
[153] As solicitações de página são servidas por uma camada de servidores de cache Squid.;Portugeese
[154] Além disso, as estatísticas ficam disponíveis publicamente por 3 meses para o acesso da Wikipédia.;Portugeese
Os pedidos que não podem ser atendidos a partir do cache são enviados para servidores de balanceamento de carga executando o software Linux Virtual Server, que por sua vez, passa a solicitação para um dos servidores web Apache para a renderização de páginas do banco de dados.;Portugeese
Os servidores web atualizam o cache conforme solicitado, realizando renderização de páginas para todas as versões da Wikipédia.;Portugeese
Para aumentar a velocidade ainda mais, as páginas processadas são armazenadas em um cache de memória distribuído até ser invalidado, permitindo que a maioria das solicitações de páginas comuns dispensem nova renderização.;Portugeese
Atualmente grande parte da carga de tráfego da Wikipédia é suportada por dois clusters maiores nos Países Baixos e na Coreia do Sul.;Portugeese
[155] Em sua ideia original, a Wikipédia tinha sido feita para que usuários a lessem e editassem o conteúdo utilizando qualquer navegador de web padrão através de uma conexão de internet fixa.;Portugeese
No entanto, o conteúdo da Wikipédia está agora também acessível através da web móvel.;Portugeese
O acesso à Wikipédia partir de telefones móveis foi possível, já em 2004, através do Wireless Application Protocol (WAP), através do serviço Wapedia.;Portugeese
Em junho de 2007, a Wikipédia lançou o pt.mobile.wikipedia.org, um site oficial para dispositivos sem fio.;Portugeese
Em 2009 um novo serviço móvel foi lançado oficialmente,[156] localizado em pt.m.wikipedia.org, que atende aos mais avançados dispositivos móveis como o iPhone, dispositivos baseados no Android, ou o Palm Pre.;Portugeese
Vários outros métodos de acesso móvel à Wikipédia surgiram.;Portugeese
Vários dispositivos e aplicações otimizam ou melhoram a exibição do conteúdo da Wikipédia para dispositivos móveis, enquanto alguns também incorporam funcionalidades adicionais, tais como o uso de metadados da Wikipédia, como a geoinformação.;Portugeese
[157][158] Alguns observadores afirmam que a Wikipédia é uma ameaça econômica para os editores de enciclopédias tradicionais, muitos dos quais podem ser incapazes de competir com um produto que é essencialmente livre.;Portugeese
"Nicholas Carr escreveu no ensaio ""A amoralidade da Web 2.0"", falando sobre a chamada ""Web 2.0"" como um todo: ""implícita nas visões de êxtase de Web 2.0 é a hegemonia do amador.";Portugeese
Eu, pelo menos, não posso imaginar nada mais assustador.;Portugeese
"""[159] Outros defendem a ideia de que a Wikipédia, ou projetos semelhantes, deverá deslocar inteiramente publicações tradicionais.";Portugeese
"Por exemplo, Chris Anderson, editor-chefe da revista Wired, escreveu na revista Nature que a abordagem de ""sabedoria das multidões"" da Wikipédia não substitui as revista científicas com os seus rigorosos processos de revisão.";Portugeese
[160] Além do crescimento logístico do número de seus artigos, a Wikipédia tem conquistado status como um site de referência geral desde a sua criação em 2001.;Portugeese
[161] De acordo com dados de novembro de 2018 do Alexa, a Wikipédia é o quinto website mais visitado do mundo.;Portugeese
"[1] O crescimento da Wikipédia tem sido alimentado por sua posição dominante no resultado de buscas do Google;[162] cerca de 50% do tráfego de motores de buscas para a Wikipédia vem do Google,[163] boa parte do que está relacionado com a pesquisa acadêmica.";Portugeese
[164] O número de leitores da Wikipédia em todo o mundo atingiu a marca de 365 milhões no final de 2009.;Portugeese
"[13] O Pew Research Center e o projeto ""American Life"" constatou que um terço dos usuários da Internet dos Estados Unidos consultam a Wikipédia.";Portugeese
[165] Em outubro de 2006, o valor de mercado hipotético do site era estimado em 580 milhões de dólares se ele publicasse anúncios.;Portugeese
[166] O conteúdo da Wikipédia também tem sido utilizado em estudos acadêmicos, livros, conferências e processos judiciais.;Portugeese
"[167][168] O website do Parlamento do Canadá refere-se ao artigo da Wikipédia sobre casamento homossexual no ""links relacionados"" de sua lista de ""leitura adicional"" do ""Civil Marriage Act"".";Portugeese
[169] As afirmações da enciclopédia são cada vez mais utilizadas como fonte por organizações como os tribunais federais dos Estados Unidos e da Organização Mundial da Propriedade Intelectual[170] — mas principalmente para obter informações de apoio ao invés de informações decisivas em um caso.;Portugeese
[171] O conteúdo exibido na Wikipédia também tem sido citado como fonte e referência em alguns relatórios da Comunidade de Inteligência dos Estados Unidos.;Portugeese
[172] Em dezembro de 2008, a revista científica RNA Biology lançou uma nova seção para a descrição de famílias de moléculas de RNA e requereu que os autores que contribuem para a seção também apresentassem um projeto de artigo sobre o RNA familiar da Wikipédia.;Portugeese
[173] A Wikipédia também tem sido utilizada como fonte no jornalismo,[174] muitas vezes sem atribuição, sendo que vários jornalistas foram demitidos por plagiar a Wikipédia.;Portugeese
[175][176][177] Em julho de 2007, a Wikipédia foi foco de um documentário de 30 minutos da BBC Radio 4[178] que argumentava que, com o aumento do uso, o número de referências da Wikipédia na cultura de massa é tal que o termo é um membro do grupo de marcas do século XXI que são tão familiares (Google, Facebook, YouTube) que já não precisam de explicações e estão a par com termos do século XX como Hoovering ou Coca-Cola.;Portugeese
Em 28 de setembro de 2007, o político italiano Franco Grillini levantou uma questão parlamentar com o Ministro dos Recursos e Atividades Culturais sobre a necessidade da liberdade de panorama.;Portugeese
"Ele disse que a falta de tal liberdade força a Wikipédia, ""o sétimo site mais consultado"", a proibir todas as imagens de edifícios modernos italianos e de obras de arte e que isso era extremamente prejudicial para as receitas turísticas.";Portugeese
"[179] Em 16 de setembro de 2007, o The Washington Post informou que a Wikipédia se tornou um ponto focal na eleições dos EUA de 2008, dizendo: ""Digite o nome do candidato no Google e dentre os primeiros resultados estará uma página da Wikipédia, tornando-a, sem dúvida, tão importante quanto qualquer anúncio na definição de um candidato.";Portugeese
Enquanto os artigos dos  presidenciais estão sendo editados e debatidos inúmeras vezes a cada dia.;Portugeese
"""[180] Várias paródias da Wikipédia foram abertas para inserir falsidades, com características vandalizadoras ou com modificações dos artigos da enciclopédia.";Portugeese
"O comediante Stephen Colbert citou a Wikipédia em vários episódios de seu programa The Colbert Report e cunhou o termo relacionado wikiality, que significa ""juntos podemos criar uma realidade que todos nós concordamos"".";Portugeese
"[120] Outro exemplo pode ser encontrado em um artigo de primeira página do The Onion em julho de 2006, com o título ""Wikipédia comemora 750 anos de Independência americana"".";Portugeese
"[181] Outros brincam com o lema da Wikipédia, como em ""The Negotiation"", em um episódio de The Office, onde o personagem Michael Scott diz:""... Wikipédia é a melhor coisa que qualquer pessoa no mundo pode escrever o que quiser sobre qualquer assunto, para que você saiba que você está recebendo a melhor informação possível"".";Portugeese
"""My Number One Doctor"", em um episódio de 2007 do programa de televisão Scrubs, também satirizou a dependência da Wikipédia sobre editores que editam os artigos da cultura erudita e pop, em uma cena em que Dr. Perry Cox reage a um paciente que diz que um artigo da Wikipédia indica que o crudivorismo reverte os efeitos da tumor ósseo por autoclavagem e que o mesmo editor que escreveu que o artigo também escreveu a lista de episódios de Battlestar Galactica.";Portugeese
[182] Em um episódio de 30 Rock, Pete e Frank adicionam informações sem sentido para a página Janis Joplin da Wikipédia depois de Jenna dizer que ela deveria procurá-la para saber mais sobre ela, pois, uma vez que a Wikipédia poderia ser editada por qualquer pessoa, foi a pesquisa mais informativa, pois eles descobrem mais a cada dia.;Portugeese
[183] O website satírico Desciclopédia que parodia a Wikipédia.;Portugeese
Fundado em 2005 no formato de uma wiki em inglês, o projeto atualmente tem versões em mais de 75 idiomas.;Portugeese
[184] O projeto foi lançado em janeiro de 2005, por Jonathan Huang.;Portugeese
[185][186] Em julho de 2009, a BBC Radio 4 transmitiu uma série de comédia chamada Bigipedia, baseada em um site que era uma paródia da Wikipédia.;Portugeese
Alguns dos esboços foram diretamente inspirados na Wikipédia e seus artigos.;Portugeese
"[187] O site de comédia CollegeHumor produziu um esboço de vídeo chamado ""Professor Wikipédia"", em que o fictício Professor Wikipédia instrui uma classe com várias declarações inverificáveis e, ocasionalmente, absurdas.";Portugeese
[188] A Wikipédia ganhou dois prêmios importantes em maio de 2004.;Portugeese
"[189] O primeiro foi um ""Nica de Ouro das Comunidades Digitais"" no concurso anual Prix Ars Electronica, valendo 10 mil euros e um convite para assistir à Cyberarts PAE Festival na Áustria mais tarde naquele ano.";Portugeese
"O segundo foi o Prêmio Webby para a categoria ""comunidade"".";Portugeese
"[190] A Wikipédia também foi indicada para ""Melhores Práticas"" do Webby.";Portugeese
"Em 26 de janeiro de 2007, a Wikipédia também foi premiada com a classificação de quarta melhor marca pelos leitores do brandchannel.com, recebendo 15% dos votos, em resposta à pergunta ""Qual marca teve mais impacto em nossas vidas em 2006?";Portugeese
"""[191] Em setembro de 2008, a Wikipédia recebeu o prêmio Quadriga Uma Missão de Iluminação, atribuído por Werkstatt Deutschland, juntamente com Boris Tadic, Eckart Höfling e Peter Gabriel.";Portugeese
O prêmio foi entregue a Jimmy Wales por David Weinberger.;Portugeese
"[192] No dia 15 de janeiro de 2015, a comunidade da Wikipédia foi agraciada com o prêmio Erasmus por sua ""ter promovido a disseminação do conhecimento através de uma enciclopédia ampla e universalmente acessível"".";Portugeese
[193] Também em 2015, a Wikipédia foi laureada com o Prémio Princesa das Astúrias de 2015 na categoria Cooperação Internacional.;Portugeese
"O júri refere que ""figura entre os dez sites mais visitados do mundo, [...] tem crescido continuamente [...], incluindo um número de línguas indígenas.";Portugeese
[...] exemplo importante de cooperação internacional, democrática, aberta e participatória [...].;Portugeese
[194] Uma série de enciclopédias interativas que incorporam artigos escritos pelo público já existiam muito antes da Wikipédia ser fundada.;Portugeese
A primeira delas foi a BBC Domesday Project, em 1976, que incluía textos (que entraram na BBC Micro computadores) e fotografias feitos por mais de um milhão de contribuintes do Reino Unido, cobrindo temas como geografia, arte e cultura desse país.;Portugeese
Essa foi a primeira enciclopédia interativa (e também foi o primeiro grande documento multimídia conectado através de links internos), sendo a maioria dos artigos acessíveis através de um mapa interativo do Reino Unido.;Portugeese
"A interface do usuário e parte do conteúdo do ""Projeto Domesday"" foram emulados em um site até 2008.";Portugeese
[195] Uma das mais bem sucedidas enciclopédias online que incorporava edições feitas pelo público foi a h2g2, criada por Douglas Adams e dirigida pela BBC.;Portugeese
A enciclopédia h2g2 tinha foco em artigos informativos.;Portugeese
Ambos os projetos citados tinham semelhanças com a Wikipédia, mas também não davam privilégios editoriais completos para seus usuários.;Portugeese
Um projeto não-wiki similar, o GNUpedia, coexistia com a Nupedia no início de sua história.;Portugeese
No entanto esse foi aposentado e seu criador, Richard Stallman, deu apoio à Wikipédia.;Portugeese
[29] A Wikipédia também gerou vários projetos irmãos, que são executados pela Wikimedia Foundation.;Portugeese
"O primeiro, ""Em Memória: 11 de setembro Wiki"",[196] criado em outubro de 2002,[197] falava sobre os Ataques de 11 de setembro de 2001; este projeto foi inativado em outubro de 2006.";Portugeese
"O Wikcionário, dicionário eletrônico de conteúdo livre, foi lançado em dezembro de 2002; O Wikiquote, uma coleção de citações, foi criado uma semana depois do lançamento da Wikimedia; e ainda há o Wikilivros, uma coleção de livros e textos escritos de forma colaborativa.";Portugeese
"A Wikimedia, desde então, começou uma série de outros projetos, incluindo o Wikimedia Commons, um site multimídia dedicado ao conhecimento livre; o Wikinotícias, para o jornalismo, e a Wikiversidade, um projeto para a criação materiais de aprendizagem e da prestação de atividades de aprendizagem online.";Portugeese
[198] Destes, apenas o Commons tem tido um sucesso comparável ao da Wikipédia.;Portugeese
[199] Várias edições da Wikipédia também mantêm um serviço de orientação, onde os voluntários respondem a perguntas do público em geral.;Portugeese
"De acordo com um estudo realizado por Pnina Shachaf no ""Journal of Documentation"", a qualidade do serviço de orientação da Wikipédia é comparável a uma mesa de orientação de uma biblioteca, com uma precisão de 55%.";Portugeese
[200] Outros sites centrados na colaboração à base de conhecimento têm se inspirado na Wikipédia.;Portugeese
Alguns, como Susning.nu, Enciclopedia Libre, Hudong, Baidu Baike e WikiZnanie, também empregam processos formais de revisão, enquanto outros usam métodos mais tradicionais de revisão por pares, como Encyclopedia of Life, Stanford Encyclopedia of Philosophy, Scholarpedia, h2g2 e Everything2.;Portugeese
"A wiki online Citizendium foi iniciada pelo cofundador da Wikipédia, Larry Sanger, na tentativa de criar um ""auxiliar"" para a Wikipédia.";Portugeese
[201][202][203] O Wikipedia Watch criticou o site em 2006, quando listou dezenas de exemplos de plágio cometidos pelos editores da Wikipédia em inglês.;Portugeese
"[204] Jimmy Wales, cofundador da Wikipédia,[205] disse a este respeito: ""Nós precisamos lidar com tais atividades com rigor absoluto, sem piedade, porque este tipo de plágio está 100% em desacordo com todos os nossos princípios fundamentais.";Portugeese
"""[204] A Wikipédia tem sido criticada por permitir a publicação em seus artigos de materiais visuais de conteúdo sexual, como imagens e vídeos de masturbação e ejaculação, bem como cenas de filmes pesadamente pornográficos.";Portugeese
Ativistas de proteção à criança dizem que conteúdo sexual visual aparece em várias páginas da Wikipédia, exibido sem qualquer aviso ou categorização de idade.;Portugeese
[206] Em maio de 2010, houve discussões entre os editores sobre a existência de imagens com tema sexual no Wikimedia Commons.;Portugeese
[207] Estas resultaram em outras discussões, sobre as mudanças nas normas do repositório.;Portugeese
"[207] O artigo sobre ""Virgin Killer"", um álbum de 1976 da banda alemã de heavy metal Scorpions, apresenta uma imagem da capa original do álbum, que retrata uma menina pré-adolescente nua.";Portugeese
A publicação da capa original causou polêmica e ela foi substituída em alguns países.;Portugeese
"Em dezembro de 2008, o acesso ao artigo da versão inglesa ""Virgin Killer"" foi bloqueado durante quatro dias pela maioria dos provedores de serviços de internet no Reino Unido, depois que foi denunciado por um leitor como pornografia infantil.";Portugeese
"[208] A Internet Watch Foundation, uma organização não governamental sem fins lucrativos, criticou a inclusão da fotografia como ""de mau gosto"".";Portugeese
[209] Em abril de 2010 Larry Sanger escreveu uma carta para o Federal Bureau of Investigation, destacando sua preocupação por duas categorias de imagens na Wikipédia conterem pornografia infantil, violando a lei federal sobre obscenidade dos EUA.;Portugeese
"[210] Sanger mais tarde esclareceu que as imagens, que eram relativas à pedofilia e uma sobre lolicon, não eram fotos de crianças verdadeiras, mas disse que eram ""representações visuais obscenas do abuso sexual de crianças"", nos termos do PROTECT Act de 2003.";Portugeese
Essa lei proíbe a pornografia infantil fotográfica e as imagens em desenhos animados e quadrinhos que são consideradas obscenas pela legislação americana.;Portugeese
[211] Sanger também expressou preocupações sobre o acesso em escolas às imagens da Wikipédia.;Portugeese
[212] A Wikipédia rejeitou enfaticamente a acusação de Sanger.;Portugeese
"[213] O porta-voz da Wikimedia Foundation, Jay Walsh, disse que a Wikipédia não possui ""material que consideremos ilegal.";Portugeese
Se tivéssemos, seria removido.;Portugeese
"""[213] Na sequência da queixa apresentada por Larry Sanger, Wales excluíu imagens sexuais sem consultar a comunidade.";Portugeese
Depois que alguns editores argumentaram que a decisão de excluí-las foi tomada demasiado às pressas, Wales voluntariamente renunciou a alguns dos poderes que detinha por seu estatuto de cofundador.;Portugeese
"Ele escreveu em uma mensagem enviada à lista de correio da Wikimedia Foundation que agira assim ""no interesse de encorajar que esta discussão seja sobre questões reais de filosofia e conteúdo, ao invés de ser sobre mim e sobre a rapidez com que eu agi"".";Portugeese
"[214] O problema de privacidade na Wikipédia envolve o direito de um cidadão de permanecer privado, continuar a ser um ""cidadão"" em vez de uma ""figura pública"" aos olhos da lei.";Portugeese
É uma espécie de batalha entre o direito de ser anônimo no ciberespaço e o direito de ser anônimo na vida real.;Portugeese
"O Wikipedia Watch afirma que ""a Wikipédia é uma ameaça potencial a qualquer pessoa que valorize a vida privada"" e que ""um maior grau de responsabilidade na estrutura da Wikipédia"" seria ""o primeiro passo para solucionar o problema da privacidade"".";Portugeese
"[215] Em 2005 a Agence France-Presse citou Daniel Brandt, o proprietário do Wikipedia Watch, dizendo que ""o problema básico é que ninguém, nem os administradores da Wikimedia Foundation, nem os voluntários que estão conectados com a Wikipédia, consideram-se responsáveis pelo seu conteúdo"".";Portugeese
"[216] Em janeiro de 2006 um tribunal alemão ordenou o fechamento da Wikipédia em alemão na Alemanha por ter publicado o nome completo do Boris Floricic, também conhecido como ""Tron"", um hacker que era antigamente membro do Chaos Computer Club.";Portugeese
Mais especificamente, o tribunal ordenou que a URL no domínio alemão.de (http://www.wikipedia.de/) não poderia redirecionar para servidores da enciclopédia na Flórida, em http://de.wikipedia.org, embora os leitores alemães ainda permanecessem capazes de usar a URL baseada nos EUA diretamente, e não houve praticamente nenhuma perda de acesso por parte deles.;Portugeese
A ordem judicial surgiu de uma ação movida pelos pais Floricic, exigindo que o sobrenome de seu filho fosse retirado da Wikipédia.;Portugeese
[217] Em 9 de fevereiro de 2006 a liminar contra a Wikimedia Deutschland foi anulada, com o juiz rejeitando a noção de que o direito de privacidade de Tron ou de seus pais estivesse sendo violado.;Portugeese
[218] Os demandantes apelaram para o Tribunal do Estado de Berlim, mas o processo foi recusado em maio de 2006.;Portugeese
[219] Em dezembro de 2008, o Internet Watch Foundation, organização que lista sites que possuem material ilegal ou potencialmente ilegal, adicionou a Wikipédia à sua lista de sites perigosos.;Portugeese
Devido a seis dos maiores provedores de internet do Reino Unido usarem o site para bloquear páginas perigosas, 95% das residências do país ficaram impossibilitadas de acessar o site, devido à imagem da capa do álbum Virgin Killer, da banda alemã Scorpions.;Portugeese
